"uid","Intervention","Intervention Provider","Target Population","Target Population Location","Discipline","Research Stage","Outcome Measures"
"psychinfo-2019-55864-003","Video-based instruction","Researchers / Researcher Collaboration","Students","Unspecified","Social sciences","Conduct stage","Effect size estimation"
"psychinfo-2019-63009-001","Reporting quality checks / feedback","Government","Researchers / Researcher Collaboration","Unspecified","Social sciences","Reporting stage","Reporting quality"
"psychinfo-2019-70948-001","Open data badges; Open materials badges","Publisher / journal","Researchers / Researcher Collaboration","Unspecified","Social sciences","Reporting stage","Data availability and re-use; Materials availability and re-use"
"psychinfo-2019-78855-001","Other quality checks / feedback","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Canada","Social sciences","Conduct stage","Data availability and re-use"
"psychinfo-2020-03334-001","Data sharing policy/guideline","Organisation","Consumers","France","Social sciences","Unspecified","Data availability and re-use"
"psychinfo-2020-03673-001","Other quality checks / feedback","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Conduct stage","Reporting quality"
"psychinfo-2020-10224-013","Open data badges; Open materials badges","Publisher / journal","Students","Unspecified","Social sciences","Reporting stage","Data availability and re-use; Materials availability and re-use"
"psychinfo-2020-10224-016","Open data badges; Open materials badges","Publisher / journal","Researchers / Researcher Collaboration","Unspecified","Social sciences","Reporting stage","Data availability and re-use; Materials availability and re-use"
"psychinfo-2020-10224-019","Open data badges; Open materials badges","Publisher / journal","Researchers / Researcher Collaboration","Unspecified","Social sciences","Reporting stage","Data availability and re-use; Materials availability and re-use"
"psychinfo-2020-10224-030","Open data badges; Open materials badges","Publisher / journal","Researchers / Researcher Collaboration","Unspecified","Social sciences","Reporting stage","Data availability and re-use; Materials availability and re-use"
"psychinfo-2020-12344-001","Statistical method","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Social sciences","Conduct stage","Effect size estimation"
"psychinfo-2020-20141-001","Open research badges","Publisher / journal","Researchers / Researcher Collaboration","Unspecified","Social sciences","Reporting stage","Transparency of contributions"
"psychinfo-2020-82619-012","Computational reproducibility checks / feedback","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Conduct stage","Computational reproducibility"
"psychinfo-2020-96321-001","Open science practices","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Social sciences","Reporting stage","Transparency of evaluation"
"psychinfo-2021-33399-001","Open Science Framework","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Social sciences","Conduct stage","Data availability and re-use; Code / analysis availability and re-use"
"psychinfo-2021-50283-262","Participatory design; Data management training","Researchers / Researcher Collaboration","Refugees","Rwanda","Social sciences","Planning and design stage; Conduct stage; Reporting stage","Data availability and re-use; Reporting quality"
"psychinfo-2021-61597-001","Other quality checks / feedback","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Social sciences","Reporting stage","Reporting quality"
"psychinfo-2021-92105-001","Other reporting guidelines, checklists, or standards","Learned societies","Researchers / Researcher Collaboration","Europe","Biomedical and health sciences","Unspecified","Effect size estimation; Reporting quality"
"psychinfo-2021-92241-224","Other quality checks / feedback","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Conduct stage; Reporting stage","Reliability; Replicability; Reproducibility"
"psychinfo-2021-94599-273","Unspecified","Unspecified","Unspecified","Unspecified","Social sciences","Unspecified","Unspecified"
"psychinfo-2022-07780-024","Pre-registration","Institution","Researchers / Researcher Collaboration","Unspecified","Social sciences","Planning and design stage","Transparency of contributions; Reporting bias"
"psychinfo-2022-07955-001","Unspecified","Unspecified","Consumers","Unspecified","Social sciences","Unspecified","Unspecified"
"psychinfo-2022-19895-001","Other quality checks / feedback","Institution","Students","Unspecified","Social sciences","Conduct stage","Transparency of interests"
"psychinfo-2022-22136-001","Pre-registration","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Social sciences","Planning and design stage","Unspecified"
"psychinfo-2022-60083-001","Other reporting guidelines, checklists, or standards","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Global","Biomedical and health sciences","Reporting stage","Reporting quality"
"psychinfo-2022-81505-001","Data sharing policy/guideline","Policy makers","Consumers","Unspecified","Social sciences","Unspecified","Data availability and re-use"
"psychinfo-2022-83503-005","Other reporting guidelines, checklists, or standards","Teachers","Students","United States","Social sciences","Conduct stage","Effect size estimation"
"psychinfo-2023-01027-001","Other quality checks / feedback","Institution","Students","Unspecified","Social sciences","Conduct stage","Reporting quality"
"psychinfo-2023-48035-004","Statistical method","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Social sciences","Conduct stage; Reporting stage","Type-I error reduction; Type-II error reduction"
"psychinfo-2023-52795-005","Simulation framework","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Engineering and technology","Conduct stage","Computational reproducibility"
"psychinfo-2023-73851-009","Open access publication","Publisher / journal","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Reporting stage","Transparency of evaluation"
"psychinfo-2023-85470-144","Experimental design","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Social sciences","Conduct stage","Effect size estimation"
"psychinfo-2023-94964-006","Other quality checks / feedback","Unspecified","Researchers / Researcher Collaboration","Unspecified","Social sciences","Reporting stage","Reporting quality"
"psychinfo-2024-11206-008","Growth-mindset intervention","Teachers","Students","United States","Social sciences","Conduct stage","Effect size estimation"
"pubmed-29531050","Data sharing policy/guideline; Code sharing policy/guideline","Publisher / journal","Researchers / Researcher Collaboration","Unspecified","Natural sciences; Engineering and technology; Biomedical and health sciences; Agricultural and veterinary sciences; Social sciences","Reporting stage","Data availability and re-use; Code / analysis availability and re-use; Computational reproducibility"
"pubmed-31728311","Experimental design","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Conduct stage","Computational reproducibility"
